fighter_name,wins,losses,draws,consec_wins,height_in,weight_lbs,reach_in,stance,DOB,age,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Merab Dvalishvili,12,4,0,5,66,135,68,Orthodox,1991-01-10,30,3.91,0.39,2.08,0.61,7.71,0.43,0.8,0.3
David Dvorak,19,3,0,2,65,125,68,Orthodox,1992-06-05,28,4.5,0.48,3.17,0.63,0.0,0.0,0.75,0.0
Matt Dwyer,9,4,0,0,76,170,76,Orthodox,1989-12-17,31,2.57,0.34,3.24,0.54,0.44,0.1,0.6,0.0
Rolando Dy,9,7,1,0,68,145,69,Orthodox,1990-08-11,30,3.04,0.37,4.47,0.52,0.3,0.2,0.68,0.0
Marvin Eastman,18,15,1,0,69,185,73,Orthodox,1971-06-08,49,2.21,0.35,3.92,0.42,1.38,0.33,0.81,0.0
Mike Easton,13,6,0,0,66,135,70,Southpaw,1984-01-25,37,3.51,0.37,4.28,0.61,0.75,0.22,0.66,0.0
Brian Ebersole,51,18,1,0,72,170,73,Southpaw,1980-11-27,40,2.32,0.49,2.14,0.56,1.7,0.23,0.61,0.1
Mark Eddiva,6,3,0,0,68,145,68,Orthodox,1986-02-16,35,3.37,0.45,2.98,0.54,1.45,0.22,0.63,0.0
Frankie Edgar,23,9,1,0,66,135,68,Orthodox,1981-10-16,39,3.7,0.39,2.71,0.66,2.28,0.31,0.65,0.3
Johnny Eduardo,28,12,0,0,67,135,71,Orthodox,1978-08-03,42,2.89,0.38,3.34,0.63,0.0,0.0,0.62,0.5
Yves Edwards,42,22,1,0,69,155,73,Southpaw,1976-09-30,44,2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7
Justin Edwards,9,5,0,0,61,155,70,Orthodox,1983-01-26,38,2.68,0.42,3.32,0.51,2.14,0.26,0.27,1.0
Leon Edwards,18,3,0,8,74,170,74,Southpaw,1991-08-25,29,2.53,0.47,2.05,0.55,1.39,0.31,0.7,0.4
Te Edwards,6,3,0,0,68,155,72,Orthodox,1990-09-11,30,1.5,0.41,4.15,0.44,0.72,1.0,0.44,0.0
Joselyne Edwards,10,3,0,0,68,135,70,Orthodox,1995-09-29,25,4.2,0.53,3.83,0.46,0.5,0.16,0.37,0.5
Stephanie Egger,5,2,0,0,66,135,68,Orthodox,1988-08-12,32,0.67,0.31,1.33,0.52,1.0,0.16,0.4,0.0
Darren Elkins,26,9,0,1,61,145,71,Orthodox,1984-05-16,36,3.5,0.38,3.08,0.52,2.7,0.33,0.58,1.2
Jake Ellenberger,31,15,0,0,69,170,71,Orthodox,1985-03-28,35,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4
Joe Ellenberger,15,2,0,0,69,155,72,Orthodox,1985-03-28,35,1.62,0.47,3.45,0.48,3.17,0.4,0.0,1.1
Tim Elliott,17,11,1,1,67,125,66,Southpaw,1986-12-24,34,3.5,0.45,2.64,0.59,4.02,0.48,0.58,1.2
Cameron Else,10,5,0,0,69,135,71,Switch,1987-04-27,33,1.92,0.36,5.58,0.58,0.0,0.0,0.0,0.0
Ramazan Emeev,20,4,0,2,61,170,76,Southpaw,1987-05-23,33,2.5,0.45,1.98,0.66,2.33,0.29,0.66,0.5
Fedor Emelianenko,36,5,0,3,72,230,74,Orthodox,1976-09-28,44,3.18,0.51,1.0,0.63,2.0,0.63,0.82,1.9
Rob Emerson,18,12,0,0,69,155,70,Orthodox,1981-07-30,39,2.5,0.3,2.83,0.64,2.02,0.52,0.65,0.4
Jamall Emmers,18,5,0,1,61,145,74,Orthodox,1989-07-24,31,5.75,0.52,4.65,0.54,2.9,0.53,1.0,0.0
Josh Emmett,16,2,0,3,66,145,70,Orthodox,1985-03-04,35,4.32,0.39,4.02,0.63,1.43,0.47,0.5,0.1
Oliver Enkamp,7,2,0,0,72,170,77,Switch,1991-08-10,29,2.38,0.36,3.55,0.37,0.87,0.16,0.0,0.0
Andy Enz,10,4,0,0,75,185,78,Orthodox,1991-08-15,29,3.51,0.23,5.32,0.57,0.0,0.0,0.58,0.0
Julian Erosa,25,9,0,2,73,145,74,Southpaw,1989-07-31,31,5.07,0.47,5.72,0.5,1.32,0.54,0.58,0.9
Cole Escovedo,17,9,0,0,67,135,72,Orthodox,1981-08-30,39,1.77,0.43,4.32,0.49,0.43,0.33,0.13,0.0
Efrain Escudero,28,12,0,0,69,155,71,Orthodox,1986-01-15,35,2.92,0.44,2.3,0.63,1.31,0.4,0.66,0.8
Carla Esparza,18,6,0,4,61,115,63,Orthodox,1987-10-10,33,2.29,0.42,2.85,0.53,3.44,0.35,0.48,0.3
Juan Espino,11,1,0,2,75,250,80,,1980-10-09,40,4.32,0.8,0.54,0.42,14.19,0.77,0.0,6.1
Jordan Espinosa,15,8,0,0,66,125,69,Orthodox,1989-11-08,31,4.99,0.53,3.23,0.58,0.92,0.28,0.9,0.2
Jodie Esquibel,6,6,0,0,61,115,64,Orthodox,1986-05-07,34,4.1,0.31,7.37,0.52,0.75,0.21,0.83,0.0
Terry Etim,16,5,0,0,73,155,73,Orthodox,1986-01-11,35,2.16,0.35,2.53,0.67,0.43,0.3,0.39,1.4
Sijara Eubanks,7,6,0,0,64,135,67,Orthodox,1985-04-27,35,4.52,0.43,3.69,0.57,1.88,0.46,0.65,0.4
Billy Evangelista,13,3,0,0,68,155,68,Orthodox,1980-10-07,40,4.51,0.4,3.96,0.61,1.6,0.19,0.61,0.2
Rashad Evans,19,8,1,0,72,205,75,Orthodox,1979-09-25,41,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0
Ashlee Evans-Smith,6,5,0,0,68,135,67,Orthodox,1987-07-09,33,4.54,0.34,4.69,0.55,1.1,0.23,0.66,0.0
Tonya Evinger,19,8,0,0,67,135,70,Orthodox,1981-06-04,39,1.16,0.42,4.02,0.38,0.93,0.3,0.33,0.9
Movsar Evloev,14,0,0,4,67,145,72,Orthodox,1994-02-11,27,4.7,0.44,2.83,0.64,2.75,0.37,0.7,0.0
Andre Ewell,17,7,0,0,68,135,75,Southpaw,1988-01-21,33,4.42,0.41,4.25,0.52,0.29,0.66,0.7,0.1
Jessica Eye,15,9,0,0,66,125,66,Orthodox,1986-07-27,34,3.76,0.37,4.01,0.55,0.45,0.4,0.57,0.5
Urijah Faber,35,11,0,0,66,135,67,Orthodox,1979-05-14,41,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8
Melinda Fabian,4,4,2,0,66,125,66,,1987-06-25,33,4.03,0.41,4.0,0.62,0.0,0.0,1.0,0.0
Wagnney Fabiano,16,4,0,0,66,145,69,Southpaw,1975-07-14,45,1.19,0.38,0.66,0.7,3.44,0.64,1.0,0.4
Bartosz Fabinski,15,4,0,0,72,170,75,Orthodox,1986-04-26,34,2.2,0.69,1.35,0.53,7.08,0.69,0.8,0.0
Zarah Fairn,6,4,0,0,68,145,72,Orthodox,1986-12-12,34,1.98,0.45,6.61,0.39,0.0,0.0,0.5,0.0
Rico Farrington,7,3,0,0,76,170,79,Southpaw,1989-06-19,31,6.33,0.41,7.2,0.51,0.0,0.0,0.2,0.0
Paul Felder,17,6,0,0,61,155,70,Orthodox,1984-04-25,36,3.7,0.44,3.44,0.48,0.29,0.28,0.64,0.2
Carlos Felipe,10,1,0,2,72,245,75,Orthodox,1995-01-12,26,4.42,0.45,4.6,0.47,0.0,0.0,0.7,0.0
Kevin Ferguson,5,2,0,0,74,235,77,Orthodox,1974-02-08,47,2.3,0.5,3.41,0.38,3.1,0.72,0.36,1.2
Tony Ferguson,26,5,0,0,61,155,76,Orthodox,1984-02-12,37,5.46,0.45,3.94,0.59,0.45,0.42,0.7,1.1
Cezar Ferreira,13,8,0,0,73,185,78,Southpaw,1985-02-15,36,1.9,0.42,2.44,0.53,2.69,0.53,0.84,0.5
Diego Ferreira,17,3,0,0,69,155,74,Orthodox,1985-01-18,36,4.85,0.37,3.26,0.58,0.89,0.26,0.68,0.9
Timo Feucht,8,1,0,0,75,205,79,Orthodox,1996-01-18,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Fickett,42,21,0,0,61,155,70,Orthodox,1979-12-14,41,2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2
Deiveson Figueiredo,20,1,1,0,65,125,68,Orthodox,1987-12-18,33,3.38,0.56,3.35,0.5,1.57,0.5,0.61,2.4
Francisco Figueiredo,12,3,1,1,66,135,69,Southpaw,1989-10-23,31,1.93,0.54,2.07,0.76,4.0,0.66,1.0,0.0
Edwin Figueroa,9,5,0,0,67,135,69,Orthodox,1984-07-31,36,2.57,0.39,3.06,0.51,0.2,1.0,0.37,0.6
Andre Fili,21,8,0,0,61,145,74,Orthodox,1990-06-25,30,3.73,0.36,3.9,0.52,2.5,0.49,0.64,0.2
Mirko Filipovic,35,11,2,1,74,230,73,Southpaw,1974-09-10,46,2.11,0.5,1.89,0.63,0.19,0.4,0.78,0.3
Luigi Fioravanti,26,15,0,0,68,170,70,Orthodox,1981-01-22,40,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9
Spencer Fisher,24,9,0,0,67,155,68,Southpaw,1976-05-09,44,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8
Chris Fishgold,18,4,1,0,68,145,68,Orthodox,1992-06-06,28,2.01,0.32,2.7,0.46,2.59,0.46,0.44,1.3
Jon Fitch,30,7,1,0,72,170,74,Orthodox,1978-02-24,43,2.61,0.5,1.65,0.54,3.6,0.51,0.56,0.8
Rafael Fiziev,9,1,0,3,68,155,71,Switch,1993-03-05,27,4.67,0.57,4.17,0.55,0.84,0.5,1.0,0.0
Jimmy Flick,16,5,0,2,67,125,68,Orthodox,1990-09-07,30,1.99,0.58,2.3,0.5,1.81,0.5,0.0,7.2
Luke Flores,9,2,0,0,72,155,73,Southpaw,1988-03-17,32,1.56,0.44,1.88,0.6,0.0,0.0,0.4,1.2
Ty Flores,7,3,0,0,75,205,73,Switch,1993-12-22,27,2.0,0.37,7.8,0.25,1.0,0.09,0.0,0.0
Alejandro Flores,17,3,0,0,61,145,73,Orthodox,1991-08-06,29,3.66,0.4,2.02,0.54,0.0,0.0,0.0,0.0
Kenny Florian,14,6,0,0,61,145,74,Southpaw,1976-05-26,44,2.41,0.4,1.85,0.63,2.22,0.33,0.6,1.3
Caros Fodor,11,6,0,0,69,155,74,Orthodox,1984-01-07,37,2.76,0.54,2.83,0.54,2.1,0.25,0.5,0.0
Rob Font,18,4,0,3,68,135,71,Orthodox,1987-06-25,33,5.21,0.42,3.83,0.62,1.2,0.36,0.48,0.8
Jesse Forbes,15,5,0,0,74,185,75,Southpaw,1984-10-24,36,2.11,0.24,4.06,0.53,1.79,0.75,0.66,1.2
Jussier Formiga,23,8,0,0,65,125,67,Orthodox,1985-04-14,35,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6
Renee Forte,8,4,0,0,67,155,71,Orthodox,1987-03-27,33,2.08,0.32,2.12,0.63,2.32,0.58,0.66,0.0
Marcel Fortuna,9,3,0,0,73,205,74,Orthodox,1985-10-22,35,3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5
Brian Foster,27,10,0,2,69,170,71,Orthodox,1984-04-03,36,3.3,0.39,1.63,0.65,3.67,0.6,0.37,1.8
Hermes Franca,24,17,0,0,66,155,71,Orthodox,1974-08-26,46,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4
Glaico Franca Moreira,15,5,0,0,72,155,77,Orthodox,1991-02-28,29,2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3
John Franchi,6,2,0,0,66,145,67,Orthodox,1982-07-16,38,1.83,0.48,2.59,0.48,2.68,0.8,0.4,0.3
Rich Franklin,29,7,0,0,73,185,76,Southpaw,1974-10-05,46,4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7
Stephanie Frausto,8,7,0,0,62,115,61,Orthodox,1990-09-20,30,1.43,0.21,3.57,0.6,0.0,0.0,0.0,0.0
Justin Frazier,10,3,0,0,72,265,75,Southpaw,1989-06-15,31,1.11,0.66,6.11,0.04,0.0,0.0,0.0,0.0
Patricio Freire,26,4,0,0,65,145,65,,1987-07-07,33,2.84,0.41,4.43,0.6,0.6,0.18,0.94,0.6
Patricky Freire,17,8,0,0,67,155,71,,1986-06-01,34,3.06,0.44,3.34,0.69,1.26,0.33,1.0,0.0
Matt Frevola,8,2,1,0,69,155,71,Orthodox,1990-06-11,30,2.73,0.37,3.44,0.58,2.59,0.37,0.4,1.1
Jinh Yu Frey,9,6,0,0,63,115,65,Southpaw,1985-05-20,35,1.9,0.48,4.05,0.42,0.55,0.25,0.83,0.0
Sarah Frota,9,2,0,0,66,125,69,Southpaw,1987-04-14,33,4.52,0.52,2.57,0.55,0.0,0.0,0.53,0.0
Riki Fukuda,24,9,0,0,72,185,73,Southpaw,1981-01-06,40,4.24,0.43,3.71,0.64,2.17,0.43,0.7,0.0
Masio Fullen,11,7,0,0,61,145,70,Orthodox,1986-10-06,34,2.46,0.32,3.5,0.54,0.47,0.33,0.69,0.0
Ricardo Funch,9,6,0,0,61,170,74,Southpaw,1980-08-14,40,2.61,0.65,3.57,0.4,1.24,0.18,0.6,0.0
Claudia Gadelha,18,5,0,0,64,115,63,Orthodox,1988-12-07,32,3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7
Justin Gaethje,22,3,0,0,61,155,70,Orthodox,1988-11-14,32,7.46,0.59,7.99,0.55,0.0,0.0,0.69,0.0
Mitch Gagnon,12,5,0,0,65,135,65,Southpaw,1984-10-10,36,2.76,0.46,2.21,0.61,1.16,0.25,0.65,1.9
Mickey Gall,6,3,0,0,74,170,74,Switch,1992-01-22,29,2.55,0.46,3.65,0.42,1.15,0.26,0.4,2.1
Manvel Gamburyan,15,10,0,0,65,135,67,Orthodox,1981-05-08,39,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7
Mateusz Gamrot,17,1,0,0,61,155,70,Southpaw,1990-12-11,30,3.47,0.41,2.47,0.56,5.0,0.31,1.0,0.0
Shamil Gamzatov,14,0,0,1,74,205,76,Orthodox,1990-08-09,30,4.27,0.46,2.13,0.58,0.0,0.0,0.5,0.0
Ciryl Gane,7,0,0,4,76,245,81,Orthodox,1990-04-12,30,5.61,0.54,1.95,0.73,1.08,0.6,1.0,0.7
Eduardo Garagorri,13,2,0,0,69,145,70,Orthodox,1989-05-28,31,3.42,0.51,2.36,0.58,0.48,1.0,0.61,0.0
Cody Garbrandt,12,3,0,1,68,135,65,Orthodox,1991-07-07,29,3.35,0.37,3.33,0.65,0.84,0.33,1.0,0.0
Leonard Garcia,18,13,1,0,61,145,68,Orthodox,1979-07-14,41,2.77,0.24,4.79,0.52,0.3,0.26,0.42,0.5
Edgar Garcia,14,5,0,0,61,170,71,Orthodox,1984-02-22,37,3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6
Alex Garcia,15,6,0,0,69,170,72,Orthodox,1987-07-14,33,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1
Steve Garcia,11,4,0,0,72,155,75,Southpaw,1992-05-22,28,4.31,0.55,2.52,0.36,0.61,0.25,1.0,0.6
Elias Garcia,6,2,0,0,65,125,67,Southpaw,1992-09-13,28,1.59,0.27,5.05,0.5,0.68,0.14,0.33,1.4
Pablo Garza,12,4,0,0,73,145,73,Orthodox,1983-09-16,37,3.37,0.44,2.7,0.5,0.94,0.25,0.15,1.3
Kelvin Gastelum,17,6,0,1,69,185,71,Southpaw,1991-10-24,29,3.64,0.43,2.92,0.59,1.22,0.39,0.64,0.1
Willie Gates,12,7,0,0,68,125,72,Orthodox,1987-01-21,34,1.8,0.38,4.28,0.38,0.0,0.0,0.67,0.4
Louis Gaudinot,8,4,0,0,63,125,63,Orthodox,1984-08-28,36,2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1
Chad George,16,8,0,0,66,135,68,Southpaw,1982-04-30,38,1.26,0.5,1.11,0.65,3.08,0.46,0.0,1.3
Karine Gevorgyan,3,3,0,0,64,125,63,,1989-03-09,31,1.2,0.2,1.8,0.76,0.0,0.0,0.0,0.0
Christos Giagos,18,8,0,1,61,155,71,Orthodox,1990-01-23,31,2.88,0.41,2.59,0.51,3.11,0.39,0.5,0.3
Joe Giannetti,6,1,0,0,72,155,74,Southpaw,1995-07-05,25,1.93,0.38,2.8,0.4,1.0,0.16,0.0,0.0
Cody Gibson,15,7,0,0,61,135,71,Orthodox,1987-09-11,33,2.47,0.31,2.54,0.63,1.85,0.38,0.58,0.4
Chase Gibson,9,5,0,0,61,155,72,Orthodox,1990-02-07,31,3.13,0.54,6.4,0.52,0.0,0.0,0.0,0.0
Thomas Gifford,14,9,0,0,73,155,75,Orthodox,1992-07-26,28,3.97,0.37,6.45,0.37,0.5,0.33,0.33,0.0
Trevin Giles,13,2,0,2,72,185,74,Orthodox,1992-08-06,28,3.57,0.57,1.83,0.64,1.45,0.87,0.8,0.2
Gregor Gillespie,13,1,0,0,67,155,71,Orthodox,1986-11-13,34,3.58,0.49,2.14,0.6,7.02,0.47,0.0,0.9
Rick Glenn,21,6,1,0,72,145,70,Southpaw,1989-04-12,31,4.31,0.42,4.29,0.53,0.67,0.13,0.66,0.3
Mark Godbeer,13,4,0,0,76,240,77,Orthodox,1983-11-22,37,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0
Hannah Goldy,5,1,0,0,64,125,61,Orthodox,1992-05-18,28,6.53,0.46,3.9,0.55,0.0,0.0,0.66,0.0
Marcelo Golm,6,3,0,0,75,249,75,Orthodox,1992-09-15,28,4.27,0.58,4.3,0.45,0.45,0.5,0.87,0.5
Frank Gomez,10,6,0,0,61,135,67,Orthodox,1986-03-31,34,1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8
Joey Gomez,6,2,0,0,61,135,73,Orthodox,1986-07-21,34,2.44,0.28,4.46,0.55,0.62,1.0,0.5,0.0
Luis Gomez,4,1,0,0,67,145,68,Orthodox,1995-01-28,26,1.57,0.33,4.03,0.55,4.48,0.5,0.33,0.0
Joey Gomez,7,1,0,0,61,155,71,Orthodox,1989-08-29,31,3.73,0.49,3.33,0.5,2.0,0.28,0.0,0.0
Edson Gomez,6,2,0,0,68,170,69,Switch,1991-02-23,30,2.66,0.32,8.78,0.45,0.0,0.0,0.0,0.0
Takanori Gomi,35,14,0,0,67,155,70,Southpaw,1978-09-22,42,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8
Akihiro Gono,35,21,8,1,67,170,68,Switch,1974-10-07,46,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5
Gabriel Gonzaga,17,11,0,0,74,242,76,Orthodox,1979-05-18,41,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1
Justin Gonzales,6,0,0,1,69,145,72,Orthodox,1991-04-28,29,6.67,0.8,0.87,0.43,14.0,0.73,1.0,0.0
Fernando Gonzalez,26,14,0,0,69,170,68,Southpaw,1983-09-15,37,4.47,0.47,4.03,0.65,0.86,0.33,0.43,1.4
Jason Gonzalez,11,5,0,0,74,155,74,Southpaw,1990-02-28,30,3.06,0.39,3.13,0.58,0.0,0.0,0.3,1.0
Jorge Gonzalez,16,4,0,0,74,205,76,Orthodox,1984-02-29,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikey Gonzalez,7,2,0,0,61,155,74,Orthodox,1985-08-13,35,0.91,0.16,14.55,0.11,0.0,0.0,0.0,0.0
Lyman Good,21,6,0,0,72,170,74,Orthodox,1985-05-26,35,5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0
Jared Gooden,17,5,0,0,72,170,77,Orthodox,1993-12-05,27,6.67,0.47,11.2,0.49,1.0,1.0,1.0,0.0
Eddie Gordon,8,4,0,0,72,185,76,Orthodox,1983-07-22,37,2.03,0.32,2.57,0.6,1.93,0.83,0.63,0.0
Jared Gordon,17,4,0,2,69,145,68,Orthodox,1988-09-06,32,5.54,0.56,3.22,0.6,2.81,0.39,0.55,0.0
Malcolm Gordon,12,5,0,0,67,125,71,Switch,1990-05-19,30,0.55,0.13,3.87,0.54,0.0,0.0,0.0,0.0
Alex Gorgees,6,1,0,0,74,155,74,Switch,1995-08-11,25,0.67,0.32,2.27,0.38,0.0,0.0,0.54,0.0
Jonathan Goulet,23,12,0,0,72,170,73,Orthodox,1979-07-13,41,1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6
Thibault Gouti,12,5,0,0,61,155,72,Orthodox,1987-02-27,33,3.68,0.34,5.64,0.5,1.23,0.8,0.83,0.3
Wilson Gouveia,14,8,0,0,73,185,76,Orthodox,1978-10-03,42,3.02,0.39,4.06,0.56,0.9,0.66,0.57,2.2
Damian Grabowski,20,5,0,0,73,241,75,Orthodox,1980-05-12,40,4.0,0.36,7.65,0.51,0.0,0.0,0.0,0.0
Roger Gracie,8,2,0,0,76,185,79,Orthodox,1981-09-26,39,1.78,0.35,1.79,0.61,1.87,0.53,0.6,1.9
Kron Gracie,5,1,0,0,69,145,70,Southpaw,1988-07-11,32,5.15,0.41,8.13,0.53,0.88,0.25,0.0,0.9
Miranda Granger,7,2,0,0,67,125,68,Orthodox,1992-04-13,28,2.91,0.48,2.64,0.59,0.0,0.0,0.4,0.0
TJ Grant,21,5,0,5,61,155,72,Orthodox,1984-02-26,36,3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6
Davey Grant,12,4,0,2,68,135,69,Orthodox,1985-12-18,35,3.67,0.48,2.32,0.63,2.59,0.47,0.66,0.2
Dwight Grant,10,3,0,0,73,170,76,Switch,1984-09-14,36,3.39,0.37,2.16,0.69,0.34,1.0,0.78,0.0
Alexa Grasso,13,3,0,2,65,125,66,Orthodox,1993-08-09,27,4.96,0.43,3.61,0.64,0.28,0.4,0.6,0.6
Tony Gravely,20,6,0,1,65,135,69,Orthodox,1991-09-28,29,3.69,0.55,3.16,0.42,5.6,0.51,0.5,0.8
Michael Graves,6,0,1,0,61,170,71,Orthodox,1991-01-08,30,1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4
Shelton Graves,7,3,0,1,74,255,76,Southpaw,1985-10-23,35,2.19,0.69,0.81,0.33,4.86,0.57,0.0,0.0
Kevin Gray,9,4,0,0,64,125,67,Orthodox,1985-05-03,35,3.45,0.62,4.48,0.66,0.0,0.0,0.0,0.0
Bobby Green,27,11,1,0,61,155,71,Orthodox,1986-09-09,34,5.17,0.51,3.32,0.63,1.56,0.41,0.72,0.3
Desmond Green,23,8,0,2,61,155,73,Southpaw,1989-10-11,31,3.7,0.46,2.51,0.69,1.62,0.5,0.75,0.0
Gabe Green,10,3,0,1,61,170,73,Switch,1993-05-02,27,6.57,0.46,7.23,0.49,1.0,1.0,0.57,0.5
Maurice Greene,9,6,0,0,79,258,80,Orthodox,1986-07-05,34,4.12,0.44,4.37,0.45,0.0,0.0,0.28,0.6
Matt Grice,15,5,0,0,68,145,70,Orthodox,1981-07-29,39,4.09,0.53,2.69,0.56,2.19,0.37,0.82,0.5
Forrest Griffin,19,7,0,1,75,205,77,Orthodox,1979-03-16,41,4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7
Tyson Griffin,16,8,0,0,66,145,68,Orthodox,1984-04-20,36,3.71,0.41,2.3,0.65,1.87,0.46,0.59,0.9
Max Griffin,16,8,0,1,61,170,76,Orthodox,1985-11-29,35,4.08,0.48,3.91,0.56,1.73,0.53,0.66,0.5
Jordan Griffin,18,8,0,0,61,145,73,Southpaw,1990-02-28,30,2.6,0.46,3.18,0.48,0.78,0.23,0.42,1.8
Chad Griggs,11,3,0,0,73,205,73,Orthodox,1978-05-15,42,2.67,0.5,2.22,0.46,1.51,0.66,0.41,0.0
Maxim Grishin,31,8,2,1,75,220,78,Orthodox,1984-05-02,36,2.08,0.48,1.44,0.52,0.6,1.0,0.66,0.0
Josh Grispi,14,5,0,0,61,145,74,Orthodox,1988-10-14,32,1.44,0.41,3.71,0.5,1.97,0.36,0.16,2.2
Kendall Grove,23,17,0,0,78,185,79,Orthodox,1982-11-12,38,2.31,0.41,2.4,0.54,0.49,0.45,0.56,1.7
Chris Gruetzemacher,14,4,0,0,68,155,68,Orthodox,1986-06-16,34,7.02,0.57,5.54,0.55,0.0,0.0,0.62,0.0
Vik Grujic,6,6,0,0,61,170,73,Orthodox,1977-02-06,44,2.24,0.48,3.39,0.41,1.18,0.33,0.26,0.4
Mike Grundy,12,2,0,0,67,145,72,Orthodox,1987-01-03,34,2.15,0.43,4.09,0.58,4.25,0.38,1.0,0.6
Wang Guan,20,1,1,1,69,145,71,Orthodox,1986-03-14,34,4.73,0.43,3.27,0.6,0.0,0.0,0.0,0.0
Shannon Gugerty,15,7,0,0,61,155,71,Orthodox,1981-12-30,39,1.25,0.39,1.88,0.58,2.13,0.27,0.5,3.4
Clay Guida,36,17,0,1,67,155,70,Orthodox,1981-12-08,39,2.44,0.34,2.57,0.63,3.36,0.38,0.68,0.7
Melvin Guillard,32,18,2,0,69,155,71,Orthodox,1983-03-30,37,2.96,0.4,1.85,0.66,1.3,0.63,0.61,0.2
Marcelo Guimaraes,9,2,1,0,72,185,73,Orthodox,1983-06-25,37,4.67,0.51,4.41,0.62,1.99,0.13,0.0,0.0
John Gunderson,35,16,2,0,69,155,69,Orthodox,1979-01-05,42,1.04,0.27,1.71,0.58,1.67,0.33,0.11,2.0
John Gunther,5,1,0,0,69,155,72,Orthodox,1985-11-24,35,1.65,0.37,3.72,0.46,7.08,0.42,0.0,0.0
Jorge Gurgel,14,10,0,0,67,155,69,Orthodox,1977-01-25,44,3.37,0.32,3.62,0.62,0.81,0.23,0.6,0.5
Alexander Gustafsson,18,7,0,0,77,205,79,Orthodox,1987-01-15,34,4.02,0.4,3.42,0.51,1.54,0.39,0.83,0.4
Chris Gutierrez,16,3,2,1,69,145,67,Orthodox,1991-04-22,29,4.3,0.57,2.45,0.59,0.57,0.6,0.73,0.2
Mike Guymon,15,6,1,0,72,170,74,Orthodox,1974-09-17,46,2.75,0.65,0.79,0.66,1.87,0.37,0.54,1.2
Chelsea Hackett,3,1,1,0,64,125,66,Switch,1998-08-16,22,2.58,0.51,4.85,0.46,0.0,0.0,0.57,0.0
Damir Hadzovic,13,6,0,0,69,155,70,Orthodox,1986-08-08,34,2.99,0.46,2.99,0.66,0.68,0.6,0.39,0.2
Tim Hague,21,13,0,0,76,260,76,Orthodox,1983-05-09,37,2.79,0.47,4.14,0.46,1.72,0.33,0.85,0.9
Uriah Hall,17,9,0,3,72,185,79,Orthodox,1984-07-31,36,3.34,0.51,3.54,0.53,0.67,0.38,0.69,0.2
Ryan Hall,8,1,0,4,61,145,70,Southpaw,1985-02-22,36,2.32,0.43,0.96,0.75,0.31,0.16,0.0,0.9
Dennis Hallman,53,20,2,1,69,155,72,Orthodox,1975-12-02,45,1.12,0.44,1.96,0.43,1.79,0.3,0.25,2.1
Piotr Hallmann,18,6,0,0,69,155,71,Orthodox,1987-08-25,33,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4
Seo Hee Ham,17,8,0,0,62,115,62,Southpaw,1987-03-08,33,4.2,0.39,5.15,0.61,0.0,0.0,0.66,0.2
Matt Hamill,12,8,0,0,73,205,76,Orthodox,1976-10-05,44,3.69,0.42,3.8,0.61,3.0,0.34,0.91,0.0
Anthony Hamilton,15,9,0,0,77,260,76,Orthodox,1980-04-14,40,3.91,0.65,3.02,0.45,2.62,0.42,0.78,0.0
CJ Hamilton,11,4,0,0,67,125,68,Switch,1986-10-07,34,2.47,0.31,3.93,0.58,0.0,0.0,0.62,0.0
Jared Hamman,14,6,0,0,75,185,75,Orthodox,1982-03-07,38,5.15,0.42,3.93,0.55,1.57,0.46,0.3,0.0
Kay Hansen,7,4,0,0,62,115,63,Orthodox,1999-08-14,21,3.57,0.59,3.03,0.54,2.19,0.25,1.0,1.6
